basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2019.01,5980,Jd23w,Tsubakifuji,Isegahama,Gifu,1989-01-11,174,129.5,Jd49w,4,3
2019.01,6602,Jd24e,Kiriarashi,Michinoku,Ibaraki,1990-04-18,175,135.8,Sd82e,1,6
2019.01,12174,Jd24w,Sadanogo,Sakaigawa,Nagasaki,1999-02-08,178,102,Sd84e,1,6
2019.01,12366,Jd25e,Shido,Kise,Kumamoto,1999-03-18,173,98,Jd50e,4,3
2019.01,12116,Jd25w,Seito,Fujishima,Gifu,1995-07-14,178,112,Jd2w,3,4
2019.01,1167,Jd26e,Kyokuhozan,Tomozuna,Nagano,1986-03-30,180,150.7,Sd74e,0,7
2019.01,12353,Jd26w,Sakurafuji,Isegahama,Kanagawa,1998-07-02,183,138,Jd50w,4,3
2019.01,237,Jd27e,Fujinokaze,Oguruma,Hyogo,1977-06-24,180.4,183.2,Sd94w,2,5
2019.01,1260,Jd27w,Mimurodake,Isegahama,Nara,1987-03-18,179,148.5,Jd51e,4,3
2019.01,12371,Jd28e,Abezakura,Shikihide,Akita,1992-06-01,167,162,Jd51w,4,3
2019.01,12447,Jd28w,Tosaeizan,Onomatsu,Kochi,1999-08-20,172,106,Jd5w,3,4
2019.01,12084,Jd29e,Hokutoiwami,Hakkaku,Hokkaido,1994-06-15,178,137.7,Jd52w,4,3
2019.01,12398,Jd29w,Chiyotaiko,Kokonoe,Osaka,2001-12-26,176,116,Jd108e,6,1
2019.01,12417,Jd30e,Toki,Tatsunami,Ibaraki,1999-03-12,168,89,Jd72e,5,2
2019.01,12081,Jd30w,Kotomiyakura,Sadogatake,Shiga,1998-02-28,175,111,Jd7e,3,4
2019.01,179,Jd31e,Tenichi,Yamahibiki,Niigata,1977-11-22,175.5,140.6,Jd8w,3,4
2019.01,12313,Jd31w,Amamisho,Sakaigawa,Kagoshima,1997-10-27,176,138,Jd56e,4,3
2019.01,800,Jd32e,Hienriki,Oguruma,Niigata,1983-03-06,179,121,Jd11e,3,4
2019.01,6033,Jd32w,Shunba,Isegahama,Ishikawa,1981-12-18,165,103.2,Jd12w,3,4
